,Movie Name,Genre
15, Marry Me (2022),"[<span class=""certRating"">NC16</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Music</span>, <span class=""ghost"">|</span>, <span>Romance</span>, <span>
<a href=""/name/nm0192478/"">Kat Coiro</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt10223460"">
</a>
</span>]"
16, The Devil's Light (2022),"[<span>Horror</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm0821844/"">Daniel Stamm</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt9271672"">
</a>
</span>]"
17, Rumble (2021),"[<span>Animation</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Family</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span class=""ghost"">|</span>, <span>Sport</span>, <span>
<a href=""/name/nm2842319/"">Hamish Grieve</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt8337158"">
</a>
</span>]"
18, Dog (2022),"[<span>Comedy</span>, <span>
<a href=""/name/nm1730221/"">Reid Carolin</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm1475594/"">Channing Tatum</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt11252248"">
</a>
</span>]"
19, Mothering Sunday (2021),"[<span>Drama</span>, <span class=""ghost"">|</span>, <span>Romance</span>, <span class=""metascore favorable"">67        </span>, <span>
<a href=""/name/nm0404067/"">Eva Husson</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt12229370"">
</a>
</span>]"
20, Mrs. Harris Goes to Paris (2022),"[<span>Drama</span>, <span>
<a href=""/name/nm0003745/"">Anthony Fabian</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt5151570"">
</a>
</span>]"
21, Unwelcome (2022),"[<span>Horror</span>, <span>
<a href=""/name/nm1229323/"">Jon Wright</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt12447796"">
</a>
</span>]"
22, Bullet Train (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm0500610/"">David Leitch</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt12593682"">
</a>
</span>]"
23, Thirteen Lives (2022),"[<span>Biography</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm0000165/"">Ron Howard</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt12262116"">
</a>
</span>]"
24, The Unbearable Weight of Massive Talent (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span>
<a href=""/name/nm3230448/"">Tom Gormican</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt11291274"">
</a>
</span>]"
