,Unnamed: 0,Movie Name,Genre
16,16, Morbius (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Horror</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm1174251/"">Daniel Espinosa</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt5108870"">
</a>
</span>]"
17,17, Jackass Forever (2022),"[<span>Documentary</span>, <span class=""ghost"">|</span>, <span>Action</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span>
<a href=""/name/nm0871860/"">Jeff Tremaine</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt11466222"">
</a>
</span>]"
18,18, Moonfall (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm0000386/"">Roland Emmerich</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt5834426"">
</a>
</span>]"
19,19, Death on the Nile (2022),"[<span>Crime</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Mystery</span>, <span>
<a href=""/name/nm0000110/"">Kenneth Branagh</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt7657566"">
</a>
</span>]"
20,20, Catwoman: Hunted (2022),"[<span>Animation</span>, <span class=""ghost"">|</span>, <span>Action</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm0855424/"">Shinsuke Terasawa</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt15248702"">
</a>
</span>]"
21,21, What About Love (2022),"[<span>Drama</span>, <span class=""ghost"">|</span>, <span>Romance</span>, <span>
<a href=""/name/nm0579956/"">Klaus Menzel</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt2263648"">
</a>
</span>]"
22,22, The Amazing Maurice (2022),"[<span>Animation</span>, <span class=""ghost"">|</span>, <span>Family</span>, <span>
<a href=""/name/nm0312881/"">Toby Genkel</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm3154064/"">Florian Westermann</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt10473036"">
</a>
</span>]"
23,23, Uncharted (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span>
<a href=""/name/nm0281508/"">Ruben Fleischer</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt1464335"">
</a>
</span>]"
24,24, Ambulance (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Crime</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm0000881/"">Michael Bay</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt4998632"">
</a>
</span>]"
25,25, The Ghosts of Borley Rectory (2021),"[<span>Drama</span>, <span class=""ghost"">|</span>, <span>Horror</span>, <span class=""ghost"">|</span>, <span>Mystery</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm1953143/"">Steven M. Smith</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt10503736"">
</a>
</span>]"
26,26, The Outfit (2022),"[<span>Crime</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span>
<a href=""/name/nm2441699/"">Graham Moore</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt14114802"">
</a>
</span>]"
27,27, The Batman (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Crime</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Mystery</span>, <span>
<a href=""/name/nm0716257/"">Matt Reeves</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt1877830"">
</a>
</span>]"
28,28, Turning Red (2022),"[<span>Animation</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Family</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span>
<a href=""/name/nm7626019/"">Domee Shi</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt8097030"">
</a>
</span>]"
29,29, Downton Abbey: A New Era (2022),"[<span>Drama</span>, <span class=""ghost"">|</span>, <span>Romance</span>, <span>
<a href=""/name/nm0193508/"">Simon Curtis</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt11703710"">
</a>
</span>]"
30,30, The Unbreakable Boy (2022),"[<span>Drama</span>, <span>
<a href=""/name/nm0348197/"">Jon Gunn</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt5181260"">
</a>
</span>]"
31,31, The Lost City (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Romance</span>, <span>
<a href=""/name/nm1887480/"">Aaron Nee</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm1519639/"">Adam Nee</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt13320622"">
</a>
</span>]"
32,32, Sonic the Hedgehog 2 (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm1733778/"">Jeff Fowler</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt12412888"">
</a>
</span>]"
33,33, Fantastic Beasts: The Secrets of Dumbledore (2022),"[<span>Adventure</span>, <span class=""ghost"">|</span>, <span>Family</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span>
<a href=""/name/nm0946734/"">David Yates</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt4123432"">
</a>
</span>]"
34,34, The Northman (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm3211470/"">Robert Eggers</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt11138512"">
</a>
</span>]"
35,35, The Bad Guys (2022),"[<span>Animation</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Crime</span>, <span class=""ghost"">|</span>, <span>Family</span>, <span>
<a href=""/name/nm2010048/"">Pierre Perifel</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt8115900"">
</a>
</span>]"
36,36, Doctor Strange in the Multiverse of Madness (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span class=""ghost"">|</span>, <span>Horror</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm0000600/"">Sam Raimi</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt9419884"">
</a>
</span>]"
37,37, 65 (2022),"[<span>Sci-Fi</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm1399714/"">Scott Beck</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm1456816/"">Bryan Woods</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt12261776"">
</a>
</span>]"
38,38, Legally Blonde 3 (2022),"[<span>Comedy</span>, <span>
<a href=""/name/nm9589396/"">Jamie Suk</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt8509238"">
</a>
</span>]"
39,39, Top Gun: Maverick (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span>
<a href=""/name/nm2676052/"">Joseph Kosinski</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt1745960"">
</a>
</span>]"
40,40, The Bob's Burgers Movie (2022),"[<span>Animation</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Musical</span>, <span>
<a href=""/name/nm0098908/"">Loren Bouchard</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm0220615/"">Bernard Derriman</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt7466442"">
</a>
</span>]"
41,41, Untitled Elvis Presley Project (2022),"[<span>Biography</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Music</span>, <span>
<a href=""/name/nm0525303/"">Baz Luhrmann</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt3704428"">
</a>
</span>]"
42,42, Jurassic World: Dominion (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm1119880/"">Colin Trevorrow</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt8041270"">
</a>
</span>]"
43,43, Lightyear (2022),"[<span>Animation</span>, <span class=""ghost"">|</span>, <span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Family</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm0533691/"">Angus MacLane</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt10298810"">
</a>
</span>]"
44,44, Transformers: Rise of the Beasts (2023),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm4023702/"">Steven Caple Jr.</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt5090568"">
</a>
</span>]"
45,45, Minions: The Rise of Gru (2022),"[<span>Animation</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Crime</span>, <span class=""ghost"">|</span>, <span>Family</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm0049633/"">Kyle Balda</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm1556070/"">Brad Ableson</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm3646390/"">Jonathan del Val</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt5113044"">
</a>
</span>]"
46,46, Shotgun Wedding (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Romance</span>, <span>
<a href=""/name/nm0601337/"">Jason Moore</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt9686790"">
</a>
</span>]"
47,47, Thor: Love and Thunder (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span>
<a href=""/name/nm0169806/"">Taika Waititi</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt10648342"">
</a>
</span>]"
48,48, Nope (2022),"[<span>Horror</span>, <span>
<a href=""/name/nm1443502/"">Jordan Peele</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt10954984"">
</a>
</span>]"
49,49, Black Adam (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm1429471/"">Jaume Collet-Serra</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt6443346"">
</a>
</span>]"
50,50, Young Guns 3: Alias Billy the Kid (2022),"[<span>Western</span>, <span>
<a href=""/name/nm0000389/"">Emilio Estevez</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt13917358"">
</a>
</span>]"
51,51, BROS (2022),"[<span>Comedy</span>, <span class=""ghost"">|</span>, <span>Romance</span>, <span>
<a href=""/name/nm0831557/"">Nicholas Stoller</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt9731598"">
</a>
</span>]"
52,52, Secret Headquarters (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm1160962/"">Henry Joost</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm1413364/"">Ariel Schulman</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt14001894"">
</a>
</span>]"
53,53, Beast (2022),"[<span>Thriller</span>, <span>
<a href=""/name/nm0466349/"">Baltasar Kormákur</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt13223398"">
</a>
</span>]"
54,54, Samaritan (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm1170339/"">Julius Avery</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt5500218"">
</a>
</span>]"
55,55, Salem's Lot (2022),"[<span>Horror</span>, <span>
<a href=""/name/nm2477891/"">Gary Dauberman</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt10245072"">
</a>
</span>]"
56,56, White Bird: A Wonder Story (2022),"[<span>Biography</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>War</span>, <span>
<a href=""/name/nm0286975/"">Marc Forster</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt11068094"">
</a>
</span>]"
57,57, Untitled Super Mario Project (2022),"[<span>Animation</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Family</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span class=""ghost"">|</span>, <span>Romance</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm1739338/"">Aaron Horvath</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm2398585/"">Michael Jelenic</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt6718170"">
</a>
</span>]"
58,58, Don't Worry Darling (2022),"[<span>Crime</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Horror</span>, <span class=""ghost"">|</span>, <span>Mystery</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm1312575/"">Olivia Wilde</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt10731256"">
</a>
</span>]"
59,59, Mission: Impossible 7 (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm0003160/"">Christopher McQuarrie</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt9603212"">
</a>
</span>]"
60,60, Spider-Man: Across the Spider-Verse - Part One (2022),"[<span>Animation</span>, <span class=""ghost"">|</span>, <span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Family</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm1690966/"">Joaquim Dos Santos</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm5358492/"">Kemp Powers</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm1042511/"">Justin K. Thompson</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt9362722"">
</a>
</span>]"
61,61, Halloween Ends (2022),"[<span>Horror</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm0337773/"">David Gordon Green</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt10665342"">
</a>
</span>]"
62,62, Ticket to Paradise (2022),"[<span>Comedy</span>, <span class=""ghost"">|</span>, <span>Romance</span>, <span>
<a href=""/name/nm0662530/"">Ol Parker</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt14109724"">
</a>
</span>]"
63,63, Paranormal Activity 8 (2023),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Horror</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm10797627/"">Wincent Sommers</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt12459328"">
</a>
</span>]"
64,64, The Flash (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm0615592/"">Andy Muschietti</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt0439572"">
</a>
</span>]"
