,Movie Name,Genre
15, The King's Daughter (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Family</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span class=""ghost"">|</span>, <span>Romance</span>, <span>
<a href=""/name/nm0573732/"">Sean McNamara</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt2328678"">
</a>
</span>]"
16, Morbius (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Horror</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm1174251/"">Daniel Espinosa</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt5108870"">
</a>
</span>]"
17, Jackass Forever (2022),"[<span>Documentary</span>, <span class=""ghost"">|</span>, <span>Action</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span>
<a href=""/name/nm0871860/"">Jeff Tremaine</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt11466222"">
</a>
</span>]"
18, Moonfall (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm0000386/"">Roland Emmerich</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt5834426"">
</a>
</span>]"
19, Death on the Nile (2022),"[<span>Crime</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Mystery</span>, <span>
<a href=""/name/nm0000110/"">Kenneth Branagh</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt7657566"">
</a>
</span>]"
20, Catwoman: Hunted (2022),"[<span>Animation</span>, <span class=""ghost"">|</span>, <span>Action</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm0855424/"">Shinsuke Terasawa</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt15248702"">
</a>
</span>]"
21, What About Love (2022),"[<span>Drama</span>, <span class=""ghost"">|</span>, <span>Romance</span>, <span>
<a href=""/name/nm0579956/"">Klaus Menzel</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt2263648"">
</a>
</span>]"
22, The Amazing Maurice (2022),"[<span>Animation</span>, <span class=""ghost"">|</span>, <span>Family</span>, <span>
<a href=""/name/nm0312881/"">Toby Genkel</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm3154064/"">Florian Westermann</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt10473036"">
</a>
</span>]"
23, Uncharted (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span>
<a href=""/name/nm0281508/"">Ruben Fleischer</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt1464335"">
</a>
</span>]"
24, Ambulance (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Crime</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm0000881/"">Michael Bay</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt4998632"">
</a>
</span>]"
